SNR_dB,True_Doppler_Hz,Est_Doppler_Hz,AI_Doppler_Hz,MSE,MSE_AI,BER
0,1166.67,1165.99, 2332.19, 108.891273,1358882.375000,0.489527
2,1166.67,1165.96, 2332.13, 61.450130,1358537.375000,0.483816
4,1166.67,1165.96, 2332.14, 35.573830,1358470.125000,0.477963
6,1166.67,1166.01, 2332.23, 21.454330,1358617.750000,0.472598
8,1166.67,1165.94, 2332.09, 13.124195,1358263.250000,0.468297
10,1166.67,1165.98, 2332.17, 8.585250,1358423.000000,0.465131
12,1166.67,1165.97, 2332.16, 5.459586,1358378.750000,0.462956
14,1166.67,1165.97, 2332.16, 3.641457,1358370.375000,0.461518
16,1166.67,1165.96, 2332.13, 2.446429,1358300.750000,0.460573
18,1166.67,1165.97, 2332.16, 1.700829,1358364.375000,0.459969
20,1166.67,1165.96, 2332.14, 1.267921,1358344.625000,0.459587
22,1166.67,1165.95, 2332.12, 0.987481,1358275.125000,0.459354
24,1166.67,1165.96, 2332.13, 0.807251,1358329.750000,0.459209
26,1166.67,1165.95, 2332.11, 0.708427,1358271.750000,0.459118
28,1166.67,1165.95, 2332.11, 0.633441,1358281.000000,0.459057
30,1166.67,1165.97, 2332.12, 0.575284,1358325.375000,0.459019
