SNR_dB,True_Doppler_Hz,Est_Doppler_Hz,AI_Doppler_Hz,MSE,MSE_AI,BER
0,1166.67,1166.04, 2332.29, 110.213425,1359127.250000,0.544901
2,1166.67,1165.78, 2331.78, 59.862080,1357732.750000,0.550253
4,1166.67,1165.97, 2332.16, 36.147507,1358524.000000,0.554747
6,1166.67,1165.98, 2332.17, 21.213570,1358485.500000,0.558264
8,1166.67,1165.98, 2332.19, 13.477074,1358493.625000,0.560871
10,1166.67,1165.94, 2332.10, 8.503782,1358265.625000,0.562640
12,1166.67,1165.94, 2332.09, 5.492547,1358237.750000,0.563825
14,1166.67,1165.99, 2332.20, 3.624751,1358484.500000,0.564569
16,1166.67,1165.95, 2332.11, 2.406424,1358275.250000,0.565042
18,1166.67,1165.96, 2332.14, 1.711214,1358344.000000,0.565355
20,1166.67,1165.96, 2332.13, 1.283462,1358317.875000,0.565554
22,1166.67,1165.96, 2332.13, 0.993233,1358308.250000,0.565692
24,1166.67,1165.97, 2332.15, 0.797631,1358354.375000,0.565785
26,1166.67,1165.96, 2332.13, 0.698798,1358297.625000,0.565858
28,1166.67,1165.96, 2332.12, 0.627967,1358284.750000,0.565910
30,1166.67,1165.96, 2332.11, 0.578296,1358311.375000,0.565944
