Delta_Theta,Magnitude,True_Doppler
0.774417,0.032048,324.074066
0.434892,0.027106,324.074066
1.026528,0.022190,324.074066
0.334632,0.016201,324.074066
0.966351,0.017533,324.074066
0.581493,0.031714,324.074066
0.500371,0.030496,324.074066
0.352054,0.028949,324.074066
0.147878,0.014329,324.074066
0.005397,0.018446,324.074066
0.396530,0.029384,324.074066
0.815493,0.027272,324.074066
0.507691,0.027316,324.074066
0.800652,0.024869,324.074066
0.226988,0.031791,324.074066
0.734719,0.034008,324.074066
0.716262,0.016108,324.074066
0.651522,0.033196,324.074066
0.559738,0.018071,324.074066
0.127189,0.014786,324.074066
0.584611,0.409309,324.074066
0.581355,0.417037,324.074066
0.569079,0.413240,324.074066
0.590267,0.417971,324.074066
0.605591,0.410575,324.074066
0.546268,0.414498,324.074066
0.555986,0.414593,324.074066
0.584827,0.418931,324.074066
0.606516,0.419783,324.074066
0.568635,0.415546,324.074066
0.587828,0.419102,324.074066
0.587836,0.416592,324.074066
0.581098,0.416765,324.074066
0.581699,0.415068,324.074066
0.581455,0.411714,324.074066
0.584715,0.411795,324.074066
0.565158,0.414420,324.074066
0.595129,0.418575,324.074066
0.598005,0.419616,324.074066
0.566598,0.408208,324.074066
0.569890,0.592252,324.074066
0.576420,0.589107,324.074066
0.576029,0.593408,324.074066
0.588526,0.590639,324.074066
0.581217,0.589841,324.074066
0.564184,0.584916,324.074066
0.574694,0.588998,324.074066
0.559226,0.590440,324.074066
0.572155,0.585526,324.074066
0.577911,0.585661,324.074066
0.584781,0.588297,324.074066
0.562962,0.588113,324.074066
0.582758,0.584860,324.074066
0.605099,0.594743,324.074066
0.585729,0.594713,324.074066
0.573999,0.587175,324.074066
0.584713,0.592311,324.074066
0.584195,0.592724,324.074066
0.582137,0.588141,324.074066
0.595599,0.590821,324.074066
0.584027,0.681204,324.074066
0.577547,0.679215,324.074066
0.590276,0.681535,324.074066
0.594581,0.680951,324.074066
0.582457,0.682757,324.074066
0.573940,0.682824,324.074066
0.580931,0.681363,324.074066
0.583468,0.688761,324.074066
0.568628,0.681102,324.074066
0.573399,0.676462,324.074066
0.584757,0.681161,324.074066
0.587360,0.679277,324.074066
0.579126,0.679093,324.074066
0.590038,0.682516,324.074066
0.592604,0.684164,324.074066
0.592493,0.683248,324.074066
0.581802,0.679434,324.074066
0.570356,0.677651,324.074066
0.584657,0.682023,324.074066
0.564344,0.678447,324.074066
0.590821,0.741131,324.074066
0.586713,0.740263,324.074066
0.572418,0.740988,324.074066
0.584789,0.739925,324.074066
0.578438,0.738036,324.074066
0.569699,0.737263,324.074066
0.580473,0.740033,324.074066
0.573543,0.741753,324.074066
0.578730,0.740034,324.074066
0.575117,0.742195,324.074066
0.570238,0.739125,324.074066
0.580384,0.738004,324.074066
0.579177,0.742024,324.074066
0.574837,0.738050,324.074066
0.576270,0.741042,324.074066
0.574874,0.738936,324.074066
0.570792,0.740375,324.074066
0.588530,0.738856,324.074066
0.578518,0.735851,324.074066
0.591662,0.742676,324.074066
0.583727,0.780436,324.074066
0.586060,0.782779,324.074066
0.573809,0.783197,324.074066
0.579494,0.780079,324.074066
0.581696,0.777901,324.074066
0.578128,0.780599,324.074066
0.581047,0.778136,324.074066
0.572624,0.778988,324.074066
0.583479,0.781540,324.074066
0.584092,0.780216,324.074066
0.578099,0.780187,324.074066
0.582676,0.782273,324.074066
0.581733,0.780623,324.074066
0.571431,0.777643,324.074066
0.591049,0.779501,324.074066
0.579307,0.778235,324.074066
0.584958,0.777648,324.074066
0.574306,0.776728,324.074066
0.581196,0.775922,324.074066
0.581719,0.781090,324.074066
0.588568,0.808334,324.074066
0.581618,0.809170,324.074066
0.581557,0.807363,324.074066
0.585608,0.810544,324.074066
0.582125,0.805325,324.074066
0.591365,0.807352,324.074066
0.583183,0.809506,324.074066
0.576471,0.808212,324.074066
0.586991,0.810367,324.074066
0.584607,0.809253,324.074066
0.580185,0.809875,324.074066
0.573746,0.808206,324.074066
0.586522,0.808061,324.074066
0.582093,0.807541,324.074066
0.579980,0.807412,324.074066
0.586110,0.807184,324.074066
0.580041,0.807416,324.074066
0.578019,0.810637,324.074066
0.582863,0.813673,324.074066
0.580337,0.806562,324.074066
0.579488,0.830004,324.074066
0.576951,0.831153,324.074066
0.585192,0.828573,324.074066
0.587264,0.830002,324.074066
0.582815,0.828499,324.074066
0.573902,0.832664,324.074066
0.587474,0.829031,324.074066
0.572935,0.828294,324.074066
0.582524,0.831097,324.074066
0.583147,0.828796,324.074066
0.589220,0.829173,324.074066
0.587325,0.830930,324.074066
0.575435,0.827603,324.074066
0.589907,0.829499,324.074066
0.583744,0.830082,324.074066
0.575437,0.829674,324.074066
0.576225,0.832165,324.074066
0.579151,0.828047,324.074066
0.578409,0.830368,324.074066
0.581996,0.829693,324.074066
0.281415,0.018391,356.481476
0.857047,0.044322,356.481476
0.385799,0.023375,356.481476
0.894082,0.024440,356.481476
0.712844,0.021464,356.481476
0.271113,0.021934,356.481476
1.177931,0.035608,356.481476
1.072152,0.041582,356.481476
0.461329,0.032429,356.481476
1.023593,0.015190,356.481476
0.775372,0.023324,356.481476
0.931630,0.026144,356.481476
0.710331,0.027092,356.481476
1.199890,0.020109,356.481476
0.558862,0.016829,356.481476
0.893049,0.021243,356.481476
0.956591,0.028984,356.481476
0.419613,0.028790,356.481476
0.687091,0.031902,356.481476
0.934428,0.027702,356.481476
0.633694,0.416808,356.481476
0.650265,0.422015,356.481476
0.644122,0.411917,356.481476
0.647607,0.408379,356.481476
0.637570,0.421464,356.481476
0.633216,0.417238,356.481476
0.643743,0.417220,356.481476
0.651261,0.414934,356.481476
0.659116,0.418707,356.481476
0.677788,0.411323,356.481476
0.666288,0.411290,356.481476
0.654749,0.415994,356.481476
0.614319,0.417765,356.481476
0.604181,0.413298,356.481476
0.639961,0.414248,356.481476
0.619944,0.416675,356.481476
0.679292,0.415883,356.481476
0.642849,0.417951,356.481476
0.631497,0.415498,356.481476
0.645199,0.415892,356.481476
0.638220,0.590298,356.481476
0.631452,0.587105,356.481476
0.636934,0.585153,356.481476
0.653371,0.585147,356.481476
0.636364,0.584908,356.481476
0.632176,0.590572,356.481476
0.640633,0.590813,356.481476
0.629813,0.588697,356.481476
0.629682,0.588128,356.481476
0.629522,0.591249,356.481476
0.650116,0.584686,356.481476
0.623315,0.584113,356.481476
0.639800,0.590748,356.481476
0.636166,0.585106,356.481476
